,timestamp
160,2023-04-21 10:38:25.824000+00:00
161,2023-04-21 10:38:27.823000+00:00
162,2023-04-21 10:38:29.935000+00:00
163,2023-04-21 10:38:32.032000+00:00
164,2023-04-21 10:38:34.225000+00:00
165,2023-04-21 10:38:36.427000+00:00
166,2023-04-21 10:38:39.035000+00:00
167,2023-04-21 10:38:41.135000+00:00
168,2023-04-21 10:38:44.125000+00:00
169,2023-04-21 10:38:46.035000+00:00
170,2023-04-21 10:38:48.226000+00:00
171,2023-04-21 10:38:50.236000+00:00
172,2023-04-21 10:38:52.328000+00:00
173,2023-04-21 10:38:54.424000+00:00
174,2023-04-21 10:38:56.334000+00:00
175,2023-04-21 10:38:58.532000+00:00
176,2023-04-21 10:39:00.630000+00:00
177,2023-04-21 10:39:03.325000+00:00
178,2023-04-21 10:39:05.425000+00:00
179,2023-04-21 10:39:08.025000+00:00
180,2023-04-21 10:39:10.234000+00:00
181,2023-04-21 10:39:12.127000+00:00
182,2023-04-21 10:39:14.247000+00:00
183,2023-04-21 10:39:16.330000+00:00
184,2023-04-21 10:39:18.624000+00:00
185,2023-04-21 10:39:21.130000+00:00
186,2023-04-21 10:39:23.224000+00:00
187,2023-04-21 10:39:25.529000+00:00
188,2023-04-21 10:39:27.932000+00:00
189,2023-04-21 10:39:30.232000+00:00
190,2023-04-21 10:39:32.332000+00:00
191,2023-04-21 10:39:34.532000+00:00
192,2023-04-21 10:39:36.624000+00:00
193,2023-04-21 10:39:39.726000+00:00
194,2023-04-21 10:39:41.725000+00:00
195,2023-04-21 10:39:43.924000+00:00
196,2023-04-21 10:39:45.823000+00:00
197,2023-04-21 10:39:47.922000+00:00
198,2023-04-21 10:39:50.226000+00:00
199,2023-04-21 10:39:52.227000+00:00
200,2023-04-21 10:39:54.032000+00:00
201,2023-04-21 10:39:56.533000+00:00
202,2023-04-21 10:39:58.734000+00:00
203,2023-04-21 10:40:00.923000+00:00
204,2023-04-21 10:40:02.931000+00:00
205,2023-04-21 10:40:04.924000+00:00
206,2023-04-21 10:40:07.227000+00:00
207,2023-04-21 10:40:09.423000+00:00
208,2023-04-21 10:40:11.629000+00:00
209,2023-04-21 10:40:13.928000+00:00
210,2023-04-21 10:40:16.123000+00:00
211,2023-04-21 10:40:18.036000+00:00
212,2023-04-21 10:40:20.326000+00:00
213,2023-04-21 10:40:22.526000+00:00
214,2023-04-21 10:40:24.632000+00:00
215,2023-04-21 10:40:26.728000+00:00
216,2023-04-21 10:40:28.631000+00:00
217,2023-04-21 10:40:30.634000+00:00
218,2023-04-21 10:40:32.924000+00:00
219,2023-04-21 10:40:34.830000+00:00
220,2023-04-21 10:40:36.535000+00:00
221,2023-04-21 10:40:39.223000+00:00
222,2023-04-21 10:40:40.935000+00:00
223,2023-04-21 10:40:43.224000+00:00
224,2023-04-21 10:40:45.827000+00:00
225,2023-04-21 10:40:47.933000+00:00
226,2023-04-21 10:40:49.926000+00:00
227,2023-04-21 10:40:52.527000+00:00
228,2023-04-21 10:40:54.533000+00:00
229,2023-04-21 10:40:56.727000+00:00
230,2023-04-21 10:40:58.733000+00:00
231,2023-04-21 10:41:00.833000+00:00
232,2023-04-21 10:41:01.504000+00:00
233,2023-04-21 10:41:03.033000+00:00
234,2023-04-21 10:41:05.134000+00:00
235,2023-04-21 10:41:07.328000+00:00
236,2023-04-21 10:41:09.429000+00:00
237,2023-04-21 10:41:11.228000+00:00
238,2023-04-21 10:41:13.433000+00:00
239,2023-04-21 10:41:15.629000+00:00
240,2023-04-21 10:41:17.823000+00:00
241,2023-04-21 10:41:19.732000+00:00
242,2023-04-21 10:41:21.534000+00:00
243,2023-04-21 10:41:23.636000+00:00
244,2023-04-21 10:41:25.932000+00:00
245,2023-04-21 10:41:27.728000+00:00
246,2023-04-21 10:41:29.723000+00:00
247,2023-04-21 10:41:32.031000+00:00
248,2023-04-21 10:41:34.229000+00:00
249,2023-04-21 10:41:36.533000+00:00
250,2023-04-21 10:41:38.326000+00:00
251,2023-04-21 10:41:40.530000+00:00
252,2023-04-21 10:41:42.425000+00:00
253,2023-04-21 10:41:43.750000+00:00
254,2023-04-21 10:41:44.623000+00:00
255,2023-04-21 10:41:46.630000+00:00
256,2023-04-21 10:41:48.633000+00:00
257,2023-04-21 10:41:50.929000+00:00
258,2023-04-21 10:41:53.026000+00:00
259,2023-04-21 10:41:55.123000+00:00
260,2023-04-21 10:41:57.123000+00:00
261,2023-04-21 10:41:59.628000+00:00
262,2023-04-21 10:42:01.631000+00:00
263,2023-04-21 10:42:04.132000+00:00
264,2023-04-21 10:42:06.226000+00:00
265,2023-04-21 10:42:08.523000+00:00
266,2023-04-21 10:42:11.028000+00:00
267,2023-04-21 10:42:13.030000+00:00
268,2023-04-21 10:42:15.133000+00:00
269,2023-04-21 10:42:17.231000+00:00
270,2023-04-21 10:42:19.524000+00:00
271,2023-04-21 10:42:22.129000+00:00
272,2023-04-21 10:42:24.424000+00:00
273,2023-04-21 10:42:26.434000+00:00
274,2023-04-21 10:42:28.633000+00:00
275,2023-04-21 10:42:30.833000+00:00
276,2023-04-21 10:42:33.232000+00:00
277,2023-04-21 10:42:35.335000+00:00
278,2023-04-21 10:42:37.135000+00:00
279,2023-04-21 10:42:39.432000+00:00
280,2023-04-21 10:42:41.628000+00:00
281,2023-04-21 10:42:43.725000+00:00
282,2023-04-21 10:42:45.433000+00:00
283,2023-04-21 10:42:47.327000+00:00
284,2023-04-21 10:42:49.625000+00:00
285,2023-04-21 10:42:51.527000+00:00
286,2023-04-21 10:42:53.728000+00:00
287,2023-04-21 10:42:55.732000+00:00
288,2023-04-21 10:42:57.532000+00:00
289,2023-04-21 10:42:59.533000+00:00
290,2023-04-21 10:43:01.928000+00:00
291,2023-04-21 10:43:04.229000+00:00
292,2023-04-21 10:43:06.027000+00:00
293,2023-04-21 10:43:08.332000+00:00
294,2023-04-21 10:43:10.833000+00:00
295,2023-04-21 10:43:12.926000+00:00
296,2023-04-21 10:43:15.128000+00:00
297,2023-04-21 10:43:16.925000+00:00
298,2023-04-21 10:43:18.923000+00:00
299,2023-04-21 10:43:20.936000+00:00
300,2023-04-21 10:43:22.931000+00:00
301,2023-04-21 10:43:25.025000+00:00
302,2023-04-21 10:43:27.223000+00:00
303,2023-04-21 10:43:29.223000+00:00
304,2023-04-21 10:43:31.128000+00:00
305,2023-04-21 10:43:33.029000+00:00
306,2023-04-21 10:43:35.423000+00:00
307,2023-04-21 10:43:37.424000+00:00
308,2023-04-21 10:43:39.632000+00:00
309,2023-04-21 10:43:41.635000+00:00
310,2023-04-21 10:43:43.735000+00:00
311,2023-04-21 10:43:45.927000+00:00
312,2023-04-21 10:43:48.330000+00:00
313,2023-04-21 10:43:50.523000+00:00
314,2023-04-21 10:43:52.427000+00:00
315,2023-04-21 10:43:54.631000+00:00
316,2023-04-21 10:43:56.630000+00:00
317,2023-04-21 10:43:58.928000+00:00
318,2023-04-21 10:44:01.224000+00:00
319,2023-04-21 10:44:03.634000+00:00
320,2023-04-21 10:44:05.827000+00:00
321,2023-04-21 10:44:07.632000+00:00
322,2023-04-21 10:44:09.630000+00:00
323,2023-04-21 10:44:11.627000+00:00
324,2023-04-21 10:44:13.823000+00:00
325,2023-04-21 10:44:15.931000+00:00
326,2023-04-21 10:44:18.228000+00:00
327,2023-04-21 10:44:20.225000+00:00
328,2023-04-21 10:44:22.335000+00:00
329,2023-04-21 10:44:24.334000+00:00
330,2023-04-21 10:44:26.328000+00:00
331,2023-04-21 10:44:29.167000+00:00
332,2023-04-21 10:49:37.987000+00:00
333,2023-04-21 10:51:36.354000+00:00
334,2023-04-21 10:52:40.742000+00:00
335,2023-04-21 10:52:48.312000+00:00
336,2023-04-21 10:53:33.156000+00:00
337,2023-04-21 10:53:35.853000+00:00
338,2023-04-21 10:53:38.140000+00:00
339,2023-04-21 10:53:40.523000+00:00
340,2023-04-21 10:53:42.570000+00:00
341,2023-04-21 10:53:44.978000+00:00
342,2023-04-21 10:53:46.886000+00:00
343,2023-04-21 10:53:48.582000+00:00
344,2023-04-21 10:53:51.065000+00:00
345,2023-04-21 10:53:53.648000+00:00
346,2023-04-21 10:53:55.423000+00:00
347,2023-04-21 10:53:57.795000+00:00
348,2023-04-21 10:53:59.880000+00:00
349,2023-04-21 10:54:24.501000+00:00
350,2023-04-21 10:55:23.020000+00:00
351,2023-04-21 10:55:25.332000+00:00
352,2023-04-21 10:55:27.434000+00:00
353,2023-04-21 10:55:29.632000+00:00
354,2023-04-21 10:55:31.736000+00:00
355,2023-04-21 10:55:33.936000+00:00
356,2023-04-21 10:55:35.936000+00:00
357,2023-04-21 10:55:38.024000+00:00
358,2023-04-21 10:55:40.644000+00:00
359,2023-04-21 10:55:42.639000+00:00
360,2023-04-21 10:55:45.051000+00:00
361,2023-04-21 10:55:47.335000+00:00
362,2023-04-21 10:55:49.634000+00:00
363,2023-04-21 10:55:51.436000+00:00
364,2023-04-21 10:55:53.336000+00:00
365,2023-04-21 10:55:55.236000+00:00
366,2023-04-21 10:55:57.619000+00:00
367,2023-04-21 10:55:59.335000+00:00
368,2023-04-21 10:56:03.545000+00:00
369,2023-04-21 10:56:10.091000+00:00
370,2023-04-21 10:56:12.565000+00:00
371,2023-04-21 10:56:14.551000+00:00
372,2023-04-21 10:56:42.600000+00:00
373,2023-04-21 10:56:44.626000+00:00
374,2023-04-21 10:56:46.896000+00:00
375,2023-04-21 10:56:47.132000+00:00
376,2023-04-21 10:56:49.336000+00:00
377,2023-04-21 10:57:05.126000+00:00
378,2023-04-21 10:57:07.337000+00:00
379,2023-04-21 11:01:13.195000+00:00
380,2023-04-21 11:22:56.079000+00:00
381,2023-04-21 11:22:58.256000+00:00
382,2023-04-21 11:23:00.337000+00:00
